2 698
3122.347377 112.096920 0
-3666.901268 1056.911391 1
2872.488213 -722.276477 2
-6124.104720 4044.737488 3
5008.339111 -1962.391606 4
-6053.246377 -1471.705894 5
-5761.490846 3558.430805 6
-4379.030052 -2502.961741 7
-4960.665659 1695.058707 8
5445.298370 3165.198201 9
-5200.943095 -2474.445512 10
3641.073776 1040.576048 11
-3427.588358 -2363.577819 12
4637.894541 -1606.860859 13
6052.671207 272.526597 14
6433.376736 469.877940 15
-482.460115 256.207915 16
3782.903528 -4334.192140 17
-2101.475702 -2820.388703 18
2377.136209 -815.716421 19
-4368.237812 -1426.814724 20
4131.489942 1370.865063 21
-2604.793180 3447.275340 22
769.575234 -3611.352728 23
4104.732836 -3526.538330 24
710.878218 1444.769855 25
6106.269007 2966.139040 26
-731.443612 3490.327381 27
-4838.610501 1318.004368 28
-5995.558399 828.477484 29
-3957.645143 -1084.977133 30
-1476.911134 -2198.488648 31
3092.856734 2432.897868 32
-4129.536891 2338.925136 33
5137.902557 3145.504289 34
6936.092362 -1531.094884 35
-2262.482333 -2899.214208 36
-5139.240704 3948.504892 37
1242.532662 -2417.182423 38
6715.499224 2241.695105 39
-861.664721 2835.434278 40
3162.851872 772.824264 41
-5339.838119 31.505868 42
-5939.308186 -1646.462928 43
1582.953026 -4739.128834 44
2768.418501 -500.735618 45
1785.705538 211.002604 46
5725.240845 1937.382002 47
-1053.337939 -2099.744927 48
5275.175203 -567.852660 49
2391.594860 3189.181936 50
4769.138458 -2171.987609 51
2400.458260 1496.216519 52
-6892.063294 -860.777161 53
3037.195421 -4134.853613 54
-5407.026935 3963.652394 55
6483.134517 -2090.138799 56
-269.269752 1498.259265 57
3053.199123 2546.726726 58
1175.176696 -435.217841 59
-1189.579698 3333.883025 60
-2450.398808 -4057.587409 61
4922.741629 173.407765 62
-7316.347072 -3174.522251 63
7007.479289 -3828.438078 64
-188.383916 -4654.495285 65
-6340.799206 -455.263714 66
7156.377039 -5009.099921 67
6030.254327 3058.427643 68
6129.193991 2823.903159 69
-640.808166 -2462.579396 70
-4528.635255 3438.936284 71
6787.082013 -503.796421 72
3199.754054 -433.348746 73
-4696.919249 3529.061571 74
-2356.635708 -2788.850859 75
-1846.508528 1707.185622 76
-3830.641172 -1659.837833 77
-1205.145332 -1870.109399 78
334.991415 -1542.240125 79
917.666989 2472.043332 80
4997.029673 2686.930845 81
-964.364626 -1854.726537 82
146.686700 -2346.045080 83
1919.079207 -440.152399 84
-3865.095788 -791.439674 85
-2923.790305 1574.749982 86
-836.430484 -4154.016593 87
1690.686686 -1898.962809 88
-562.017048 1970.498819 89
-6793.362092 2273.224034 90
-121.446088 3290.410542 91
-3788.872377 -247.413222 92
-5237.769486 3716.841368 93
2163.608275 671.164158 94
-1511.439865 -237.522419 95
8273.142840 -3472.065046 96
-171.072629 579.662672 97
6235.676570 1381.648670 98
-5833.337496 1012.903361 99
-7450.948611 -1070.105174 100
-2376.230455 3306.954012 101
-656.947483 -3882.725317 102
-5530.116314 79.637131 103
1608.004137 -1858.028858 104
-5749.526398 1263.464211 105
-6024.257765 -278.994674 106
3472.238580 3048.972641 107
1365.708505 2957.896750 108
-2237.328217 -2513.620282 109
-6060.100465 272.431277 110
-5630.179675 75.921095 111
1934.747393 328.599604 112
5938.054421 3071.994992 113
898.663031 -2664.906305 114
1388.426567 -4964.973012 115
-3981.731481 -4421.495919 116
-6369.876415 -2331.145814 117
1215.125756 -661.134265 118
-5647.471413 2127.309673 119
4253.630270 1622.199356 120
1214.251068 -1413.809000 121
2239.935580 508.849881 122
1184.840865 2525.492209 123
-6851.076530 -101.345354 124
2654.755034 3372.015914 125
-3121.628990 -1934.787476 126
-4693.927466 1105.427707 127
1752.479655 608.682513 128
4912.017387 1707.422742 129
-5625.829912 1317.698118 130
2845.006707 -129.057834 131
3055.906202 536.938702 132
1192.133957 956.507103 133
-4507.165350 -613.040053 134
1295.837990 1171.433219 135
-4702.591644 -4213.575260 136
-6425.507996 1245.987434 137
4502.336424 2452.759201 138
1976.746145 3220.618005 139
-2975.059297 -1975.123741 140
5743.261439 2720.023688 141
-6758.545187 76.842807 142
5828.226948 -3211.860662 143
3441.431890 -2678.361759 144
-6663.186361 -720.902143 145
-4345.697750 -1703.383623 146
-1258.629947 -2690.691819 147
4797.120511 -1479.028627 148
2954.451780 -682.152463 149
-6915.690909 -1911.700580 150
4857.142673 -4102.628839 151
5372.127556 1566.877315 152
4359.058407 1913.295818 153
-2747.292943 -1485.146070 154
-4652.073061 1237.373201 155
-3640.413657 -1844.207390 156
-1351.264539 3476.649086 157
-6287.391951 2018.669130 158
-2225.653244 3403.908696 159
4831.624877 1481.797748 160
-2441.912232 3617.284034 161
189.674706 -1192.464924 162
1623.387287 -1789.104017 163
5241.604282 -3349.511366 164
8017.331635 -4077.031903 165
3944.723579 2715.703815 166
-1330.732329 2835.798269 167
-6644.973813 378.320191 168
-60.821688 -194.835075 169
-6627.886137 -558.401627 170
1957.788943 388.072826 171
3917.528551 1696.740535 172
-4406.013395 2457.926629 173
2508.518063 -3798.757931 174
-3390.923200 -1450.125444 175
5993.713691 2905.010047 176
4991.274001 -457.659788 177
-5863.677070 134.205955 178
1024.229954 -2697.244473 179
-6119.132274 -3755.878176 180
3462.232823 2768.431618 181
6548.885959 2882.806279 182
-5814.348503 2644.148591 183
3730.146820 -877.194835 184
4971.055742 2296.861480 185
-5199.400093 -911.584003 186
3548.083570 -2076.910696 187
6383.891378 -2517.680285 188
-6234.677263 -420.603358 189
2657.389964 2486.332536 190
1814.246182 -3054.433623 191
-6248.299835 4347.584687 192
-6528.885904 1020.919783 193
-2680.351067 117.059536 194
-3086.227509 -3439.256404 195
-5410.863487 2540.345304 196
-6183.861727 2348.039835 197
6425.232032 2736.155082 198
4896.328804 2680.137720 199
-4777.471383 3980.995504 200
-4667.028738 3005.922888 201
5324.946058 2381.333903 202
-6584.904469 1909.430863 203
3421.229791 1135.265116 204
8342.335937 -3415.774083 205
-3738.828311 -4530.323068 206
-4135.641782 -1445.162182 207
5222.581842 3229.252243 208
-396.825794 628.702858 209
-4478.955408 -635.003282 210
-2924.357988 -2030.642393 211
4364.690194 -1208.443765 212
2136.209853 3029.878733 213
5774.178286 -28.709564 214
2943.513365 3156.954111 215
-6782.678387 -142.472037 216
-6691.594650 822.068734 217
-4170.401707 -3407.532865 218
284.699297 772.855573 219
5124.013830 458.378427 220
3611.944690 -185.590697 221
-6043.360089 1969.400719 222
1670.457203 -3983.314377 223
-2154.795371 -1738.887554 224
813.851072 -543.398580 225
3905.966755 -1537.231473 226
1777.133510 423.896935 227
-5623.670554 3130.691750 228
-814.787948 1901.651785 229
-2083.734578 -1111.045523 230
-3640.061785 -3067.083377 231
-1028.286618 2852.963786 232
-735.952335 1940.397177 233
-7291.569786 -3168.886299 234
5773.004682 -2699.807950 235
1947.438858 -1695.134535 236
5761.861215 121.753154 237
-2140.396204 -3434.430024 238
3583.832724 1509.954219 239
-1592.924508 236.005369 240
2863.390374 -2488.246936 241
323.641524 -4044.226587 242
-7246.377514 -2627.929466 243
6562.176252 460.427916 244
1334.533926 2666.589026 245
3901.818606 -4655.404453 246
676.520167 0.982104 247
3987.042571 457.572708 248
-6682.027579 -217.876241 249
-3766.054685 873.699795 250
-4020.027003 -4563.329489 251
4645.304520 -2570.012872 252
-816.038623 1133.792831 253
2227.500326 2157.415934 254
985.349723 2618.007504 255
5983.351449 2894.646508 256
-1357.894268 -4703.251079 257
-7007.274056 -1109.292293 258
4143.309206 -473.941216 259
545.435476 -2980.428620 260
5976.184643 915.774365 261
3050.897629 -453.407705 262
