2	43
3.52	4.0	0
4.76	4.76	3
5.9	5.9	5
1.81	3.81	11
1.81	2.24	12
4.48	4.81	13
4.67	4.62	14
3.65	3.75	16
3.81	3.81	17
3.71	3.71	19
3.62	3.81	22
2.57	2.95	23
3.52	3.81	25
2.48	2.9	26
3.71	3.71	27
2.33	2.33	28
3.14	2.29	29
2.29	2.29	34
4.7	4.55	38
3.33	4.25	42
3.71	3.86	44
4.9	5.35	45
2.48	2.52	46
4.9	5.29	48
2.7	2.8	49
6.19	6.1	52
2.33	3.62	53
3.76	3.76	54
3.81	3.9	61
5.95	5.52	63
5.1	5.1	65
3.52	3.62	66
4.62	4.62	67
4.52	4.76	70
5.43	6.0	71
3.57	3.57	78
2.48	2.67	80
3.57	3.9	84
3.75	3.75	89
3.19	3.95	90
3.57	3.71	92
4.38	4.71	95
3.8	3.9	96
