title,price,rating,total_reviews,product_description,reviews,reviews_rating,Shoe Type
CLYMB Outdoor Sports Running Shoes for Mens Boy,₹279.00,2.9 out of 5 stars,2389 ratings,Elevate your style with this classy pair of Running Shoe from the house of CLYMB brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,Not happy with product|| It's not as expected.|| AVERAGE PRODUCT|| Pic more beautiful|| Got damage product. But quality is average for 300₹|| Bad product different from what was listed|| Worst product|| Don't buy|| Low quality makes pain on heals by sharp edges inside shoes|| Do not buy it anyway,1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men
Bourge Men's Loire-z126 Running Shoes,₹479.00,3.9 out of 5 stars,11520 ratings,The product will be an excellent pick for you. It ensures an easy maintenance.,Memory cushioning in these shoes is the best feature!|| Poor quality product|| Best for gym n sports|| Must must must buy|| Worth for this price|| Satisfied|| Please try this shoe|| Very good for heels. Comfy cushion|| Good lookinggood quality not exact fit a bit over sized.|| Awesome Amazon Awesome,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
T-Rock Men's Sneaker,₹430.00,3.3 out of 5 stars,1251 ratings,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,Worth to its amount|| Go for it|| Perfect|| 5 star|| Itam not received|| Worst product .please dont buy|| Nice Shoes|| Pros and cons|| No buy|| Ignore this and go for another option.,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men
Robbie jones Sneakers Casual Canvas Fabric Colour Shoes for Men and Boys,₹499.00,4.2 out of 5 stars,3 ratings,Robbie Jones Shoes Are Designed To Keeping In Mind Durability As Well As Trends The Most Stylish Range Of Shoes. They Are Exclusively Designed To Match The Latest Trends Of The New Generation. This Pair Of Shoes Is Sure To Make You Look Smart & Classy. These Will Go With Most Of Your Casual Outfits. This Product Is Made Of Premium Quality And Highly Material. Wearing This Prime Quality Amazing And Cozy Shoe With The Combination Of Jean And T-Shirt. It Presents Standard Look To Your Personality. We Are Always Providing Latest Fashion Shoes For Men's Casual Shoes For Men.,Sup quality|| Good but not expected|| Awesome 👌.!,5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars,Men
Sparx Men's Sd0323g Sneakers,₹499.00,4.2 out of 5 stars,20110 ratings,Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd. a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception the company has established a benchmark for bringing the finest range of footwears.  Sparx the most stylish range of shoes sandals and slippers are exclusively designed to match the latest trends of the new generation. Known for its sturdy and stylish designs Sparx is an iconic youth brand for those who dare to explore the world. Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd. a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception the company has established a benchmark for bringing the finest range of footwears. A perfect combination of comfort style and workmanship Sparx is all about confidence and making a fashion statement. Its flaunting design pattern sparks a cool statement as you take a step ahead in them. ,Best|| Satisfied!|| Affordable beauty 😘😘😘😘 the eye catcher 😊|| Economical and soft for feet|| Good looking shoe however buy one size low|| Must bye for puja|| Why so much variation in sizes.|| Review after 30 days of use|| You get what you pay for|| Cheap and branded spent 588/- x 5 to 6 time is better than 4500/- one time,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars,Men
Inklenzo White Shoes for Mens for Daily USE,₹449.00,3.5 out of 5 stars,224 ratings,CASUAL SHOES FOR BOYS AND MENS IN WHITE COLOUR,Awesome|| Nice Product|| Nic fitting|| Poor quality product|| Shoes|| Nice|| Bad|| Fits comfortably|| So comfortable and fancy|| Nice,5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars,Men
Robbie jones White Men Casual Sneakers Shoes for Men and White,₹499.00,3.3 out of 5 stars,36 ratings,Robbie Jones has a vast collection of casual shoes for men. You can explore our range of casual shoes  daily shoes or lifestyle shoes.Take your pick from an array of sports shoes in vibrant colours like red yellow green blue brown black grey olive pink beige and white. Designed for top performance these shoes match the way you play or run. Available in materials like leather canvas suede leather faux leather mesh etc these shoes are lightweight comfortable sturdy and extremely sporty. The sole of all Robbie Jones shoes is designed to provide an increased amount of comfort and the material is good enough to provide an improved fit. These shoes are easy to maintain and last for a really long time given to their durability.,Bang for buck(paise)|| Refund or change|| This shoes are really good for casual ware .|| Comfort|| Got one|| Poor quality|| A good product for this price|| Good quality but the seller have to improve their serviceas I got wrong shoe number|| The soul of the shoes is Not what it looks like in the photo|| Product not as described and v.poor quality,5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars,Men
Knoos Men's Loafer,₹449.00,3.8 out of 5 stars,9184 ratings,Elevate your style with this classy pair of Loafer from the house of KNOOS brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,Think twice before ordering Amazon|| Very poor product don't buy it|| Thank you Knoos and Amazon.|| Not at all a good product|| Ossm products... Buy it without thinking|| Nice Shoes..Fits as expected...Value for Money|| Worst worst worst....|| Can get better stuff for this price..|| Poor quality|| Buy only if you like low quality shoes,1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men
BATA Men's Boss-ace Uniform Dress Shoe,₹559.00,4.1 out of 5 stars,25 ratings,Very stylish and comfortable shoes.,Material is good and comfortable. Nice product|| comffotable fit|| Superb quality.|| Worth for money|| Quality|| Very comfort|| Yah product mujhe bahut achcha|| Good|| Best in bata at this range|| Nice,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men
road runner Men's Sneaker Shoes,₹399.00,3.6 out of 5 stars,4 ratings,Elevate your style with this classy pair of Sneaker from the house of ROAD RUNNER brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,It's nice and very comfortable.|| How can you cheat with customer you erase size number back side of shoes.,5.0 out of 5 stars|| 1.0 out of 5 stars,Men
